0,1,2,3,4
손그림 파워포인트 콘텐츠 만들기,30시간,2023.10.23,,"파워포인트 주로 사용하는데 매일 하던거만 하다 새로운걸 알아가네요~
감사합니다~"
손그림그리기 잼있는 연수,15시간,2023.10.22,,"도형을 이용해 간단하게 손그림 그리는 방법을 배우는 유익한 연수였어요..
그런데 프로그램은 아직 익숙하지 않아서 직접 하면서 하지 못해 아쉬워요..
교실에서 칠판에 아이들 캐릭터를 그려주면 잼있어하는데요..
이번 연수로 더 생생한 캐릭터를 그려서 활용해보렵니다."
똥손 선생님을 위한 최고의 선택!,15시간,2023.10.19,,"저는 미술에 정말 소질이 없는 사람입니다.. 그래서 아이들과 미술을 하는 것도 힘들어하고 일기장에 답글을 달아주는 것 또한 글씨체가 이상해서 예쁘게 쓰기 위해 공을 들이곤 합니다. 이 연수를 선택하게 된 것도 아이들과 캘리그라피 미술을 함께 하면 좋겠다는 생각과 함께 제 글씨체를 고칠 수 있는 계기가 되지 않을까하는 마음으로 신청했습니다.
그런데 웬걸!!!! 연습할 수 있도록 붓펜, 도화지 등도 보내주셔서 정말 좋았습니다 ㅠㅠ!!♥♥♥ 재료가 없었다면 그냥 눈으로 보고 아~ 저렇게 하는 거구나! 하며 넘길 수도 있었을 강의를 실제로 강사님과 함께 해보며 더욱 집중하는 시간이 될 수 있었습니다.
캘리그라피를 시작하며 필요한 도구도 세세히 설명해주시고, 짧은 단어부터 적용하는 단계까지 구성이 너무 알찼습니다! 강의만 순서대로 따라하면 쉽게 따라갈 수 있는 수준이었습니다.
제가 한 것과 비교해서 강사님이 너무너무 잘하셔서 비교되긴 했지만...^^..전 아직 초보니까요!!ㅋㅋㅋㅋㅋ 9차시 다정한 마음을 담은 캘리그래피 카드를 만들어 어머니께 선물해드렸더니 무척 좋아하셨습니다!
무슨 연수를 들을지 고민하시는 선생님들께 이 연수를 꼭 추천드리고 싶습니다!!!! 이제 아이들과 붓펜을 이용해 다음주에 수업을 해보려고 합니다.
아이들을 보내고 교실에서 힐링하며 들을 수 있는 이 연수!
캘리그라피를 하며 잡생각을 떨쳐버리고 싶으신 선생님! 글씨체 고민이신 선생님!들께 특히 꼭 추천 드립니다!!!!"
내 생애 최고의 독서수업 방법 연수,30시간,2023.10.19,,"교직 생활이 연수가 늘어갈수록 다양한 독서 연수 강좌를 들어왔습니다. 이번 연수는 학년부장님의 적극 추천으로 듣게 되었는데 역시 고개를 끄덕일 수 밖에 없었습니다. 유명 강사나 유머를 중무장한 강의가 아니었음에도 연수를 들으며 재미있다는 생각이 들었습니다. 주 진행을 맡으신 강사님의 차분하고 노련한 진행, 그리고 매 차시마다 강의 주제에 맞는 게스트 강사분께서 나오셔서 자신의 경험을 들려주시는 구성이 교사들간의 동아리 모임처럼 알찹니다. 강사분들 모두 교사로서 오랜기간 독서로 수업을 진행한 경험이 풍부한 분들이시며, 자신의 경험에서 나온 실전에 적용 가능한 방법을 들려주십니다. 그런데 이 단순한 기술 나열이 아니라 학급 안에서 아이들과 호흡하며 아이들의 마음을 어루만지고, 아이들의 생각을 자연스럽게 끌어낼 수 있는 학급 경영의 노하우와 접목된 형태도 많아서 더욱 공감이 갔습니다.
또한 강의자료도 다운받아서 활용하기에 좋고, 강의에서 소개된 그림책, 동화, 아이들 책들이 하나 같이 주옥같은 도서들입니다. 강의들으면서 읽어보지 않은 책들은 죄다 구매하여 읽어보았을 정도랍니다.
독서수업방법 강의 찾으시는 분들께 강력 추천합니다. 좋은 연수 감사합니다."
생각이 행동으로 연결되는 연수였습니다. 강추!!!,30시간,2023.10.18,,"근래 들어 정말 기분좋게, 즐겁게 들었던 연수입니다.
환경인가? 하며 들었는데 다시 지구과학인가? 하는 생각으로 알아가는 즐거움을 느끼게 해준 연수입니다.
더불어 너무 재미 있어서 빨리 듣고 싶어 더욱 열심히 들었습니다.

사실 그동안 말로만 환경환경 해왔던 나의 모습...... 수업은 하되 생활 속 실천은 나와 상관없다는 나의 모습......
편리함의 유혹이 너무 커서 '그래서 난 최소화해서 사용하고 있어'하며 텀블러보다는 종이컵 하루 1개를 실천한다고 당당히 말하던 나의 모습......

'환경 사랑해야지' 하면서도 나와는 별개의 세상처럼 살았는데, 연수를 통해 아이들과 교실내 지구 사랑을 실천할 수 있는 방법을 이야기 해보려고 합니다.


'아는 만큼 보인다' 이 연수를 보면서 절실히 느꼈습니다. 아이들과 교실내 실천으로 시작하겠습니다.

간만에 정말 정말 즐겁게 연수 받았고 행동으로 옮겨보고 싶은 마음이 드는 행복한 연수였습니다."
매우 훌륭한 연수,15시간,2023.10.18,,우리나라를 위해 목숨을 바쳐 싸운 분들이 정말 많다는 것을 새롭게 알게 됐습니다.
손그림에 재능이 없더라도 그릴 수 있도록 자세한 설명이 있어서 알찬 강의!,30시간,2023.10.18,,"손그림에 재능이 없더라도 그릴 수 있도록 자세한 설명이 있어서 알찬 강의였습니다. 특히 손그림을 학생들에게 유용하게 사용 할 수 있도록 파워보인트를 이용한 방법을 소개해 주어서 실제 학교에서 지도할 때 잘 사용할 수 있을 것 같습니다.
파워포인트의 전반적인 그리기 방법을 함께 소개해 주어서 그리기에 재능이 없더라도 쉽게 적용할 수 있는 점이 이 강의의 유용한 점이라고 생각합니다."
학생 생활에 도움이 되는 연수,15시간,2023.10.18,,"본 연수를 수강 하면서 고학년 학생들을 이해하는데 큰 도움이 되었습니다.
앞으로도 생활 지도 및 학생 생활에 도움이 되는 많은 연수가 있으면 좋겠습니다."
진짜 많은 도움이 되는 연수입니다~,15시간,2023.10.18,,"학교에서 단체로 신청해서 듣는데 너무 유익하고 좋은 연수입니다~
많은 선생님들께서 들으시면 좋겠습니다~
감사합니다~"
반복학습!,30시간,2023.10.17,,익숙해 질 때까지 여러번 반복해서 익히니 좋네요.
